review_id,username,user_image,likes,review_created_version,created_at,reply_content,replied_at,app_version,score,comments,keywords,lda_category,sentiment,insight
5fffa428-67f3-4271-8a5d-8418797b96d2,Abdilkaf Dula,https://play-lh.googleusercontent.com/a-/ALV-UjWaZ4bvFKGBHK0lLnCf-TEeeCrya71Zc_fCdl3UzoutULmQSok,0,24.03.04,2024-03-27 02:18:01,,,24.03.04,5,Nic app,,,,
a2145b08-443c-4ee6-9d75-644284f8af07,Kifle Tafese,https://play-lh.googleusercontent.com/a/ACg8ocLZ_0qE905qpZ57sb8bd2wdbxvndInnVyyfKlbSM259cJ_hXw=mo,0,24.03.04,2024-03-26 09:37:05,,,24.03.04,5,.wow,,,,
8e0094bb-d728-47f0-b2c8-f662bb410279,Fra Mag,https://play-lh.googleusercontent.com/a-/ALV-UjXVgXbYXCs12feOjwQFEOK8AtynfFGl2ycyMZZi1AlZqn7lrDI,0,24.03.04,2024-03-25 17:06:02,,,24.03.04,5,Amazing App,,,,
6cf6dd90-38ef-49db-a1ec-9de4197d3858,Siraj Sebhatu,https://play-lh.googleusercontent.com/a-/ALV-UjXsulfxHnkKgvIuH-RgMM9mcIqLDF8Dm4eVQZduOcu1Cu_PjWaD,0,,2024-03-25 12:29:41,,,,5,Nice,,,,
76097465-1d48-4a18-90eb-d1cbb99a98f3,Tsegeireda abebe,https://play-lh.googleusercontent.com/a/ACg8ocLWJsUWn25EfBCVySOU-35-DT59EkXe6BSARPHyFJOgrUCcwg=mo,1,24.03.04,2024-03-25 06:56:01,,,24.03.04,1,I don't get it is not working?,,,,
5c0a8f16-d2bd-452a-875c-f4f6995a5a6a,Manuel Talore,https://play-lh.googleusercontent.com/a/ACg8ocJQI9soQkiSCZa-gdy2BQfevaQhF2twHlG42tbIomJbo3rUfg=mo,9,24.03.04,2024-03-23 07:17:31,,,24.03.04,1,The worst application even yall better be organized WHAT THE ACTUAL APPLICATION is this like so rude and problematic. It's infuriating,,,,
29f88dac-89eb-4ff9-9265-545ae64c0113,Simeneh Zewdu,https://play-lh.googleusercontent.com/a-/ALV-UjW5Qox6fOLbRpXU69vBEXHjEDb52ek0zxgvdU3MFjjQnbuUXvjD,9,24.03.04,2024-03-23 05:36:58,,,24.03.04,3,This app keeps crashing pls fix the problem and update it.,,,,
e76c55e2-b13d-4c5a-97d1-d1a016bbae81,Aden Ali,https://play-lh.googleusercontent.com/a/ACg8ocIu2QS-JHO7-evNPnWZGJ8M-ldlzxXJqp_kuWmTXULEyh3PpGY=mo,0,24.02.14,2024-03-23 02:16:44,,,24.02.14,5,welcome,,,,
9614d0f2-c80e-450e-aac2-47b02c31f375,Anteneh Yirgalem,https://play-lh.googleusercontent.com/a-/ALV-UjWoVp3aTNZUXfXUhN6_yW_xDfowW-CcOdlAvJkMZCrdNdw4tzEg,19,24.03.04,2024-03-22 18:38:04,,,24.03.04,1,The app seems like some kid's high-school project looks so good but doest work at all keeps crashing don't even try to download it u r better off with other financial apps,,,,
2bc92e95-c974-4beb-bafe-0fbbcddb137f,Muhammed Tilahun,https://play-lh.googleusercontent.com/a-/ALV-UjUoQrWVkG-JpOevUcDe4-JoHX-buTlHz8cU3VL5u1MCaXI5Q_rS,6,24.03.04,2024-03-22 16:37:09,,,24.03.04,1,"It always corrupt, unable to access for payment from it. It is not expected from Abyssinia.",,,,
8521c0c7-2fa7-40f7-b94b-0afbf29cb170,KedirTrading Kelil,https://play-lh.googleusercontent.com/a-/ALV-UjWSNS8GjLqeGSPs6HfV0bo8_x-wKAfHqG4cij5iWvBO_8nr1SU,0,24.02.14,2024-03-22 01:04:27,,,24.02.14,5,wow wow,,,,
68c9b366-ecb1-457f-b78f-60b7928c48fb,Faxum Nasir,https://play-lh.googleusercontent.com/a/ACg8ocJu0Z9v0V1M4sd3hAVFWXpm9mUPrzw79Togw23SA5f_MmpLOQ=mo,0,,2024-03-22 01:01:08,,,,5,Adis,,,,
efddaa0d-cf15-44f4-9e8b-a5df46dd1706,Hamza Mahamed,https://play-lh.googleusercontent.com/a/ACg8ocIm3PxOZOCf5vhs3UrOM3kucsDOnQdQB27qnGNDz5de01_MNQ=mo,0,24.02.14,2024-03-21 23:39:50,,,24.02.14,5,good,,,,
b7f0a029-5af6-4e00-9520-73cc82e8de8e,Samrawit Biruk,https://play-lh.googleusercontent.com/a-/ALV-UjX9-5aA5wRubf6lF7Iq4oSGarvirKoug6VL5jbN3yZYwaMLGzI,1,24.03.04,2024-03-21 18:04:40,,,24.03.04,1,The most miserable app. Please update it,,,,
2c3c5d6e-e8c9-42c5-931e-b57636cad773,Ras Abdre,https://play-lh.googleusercontent.com/a-/ALV-UjX5g1tFcsFpAbgudMcN6ae7d0CZI6-JMVgOuA_Q3O2JhO7_Q6Y,0,24.03.04,2024-03-20 23:38:30,,,24.03.04,5,good,,,,
05abf16e-6498-400c-86c7-2083cee490be,Yared Abate,https://play-lh.googleusercontent.com/a/ACg8ocLRsuqEumROqORtcStIdFxaGF2G9o2kz_TcXN_lRwCQw3tVQ2U=mo,2,,2024-03-20 20:22:40,,,,3,This app is best,,,,
72b016d8-0834-47ff-b34c-c9b92e042759,K Both,https://play-lh.googleusercontent.com/a/ACg8ocIVT2B3MO7olkq7D9g8S3UF1Se3GXy_qNxEGl99X8IqrrVzQA=mo,0,24.03.04,2024-03-20 18:12:33,,,24.03.04,5,Very good,,,,
875b0bb7-f39b-4cef-a88f-cfdf45b45533,Firi Soft,https://play-lh.googleusercontent.com/a-/ALV-UjXKg-qEmU-eOsxsMeZRnNbKjCwhfPbryR2zwTqVzS-vH76UL9XG,3,,2024-03-20 11:22:41,,,,2,Yea this app was good.....but one thing i wanna to know does have international payment like paypal ...... if it works i swear i will support in every thing.... i hope u will fix it,,,,
a6a3a532-3a11-406f-9312-1fa466014115,Yohannes Abit,https://play-lh.googleusercontent.com/a-/ALV-UjWUBi-tFXDDhkaA6DxWMls6RbRrGummvhJtvezzVMcQnTZbtKj5,1,24.03.04,2024-03-20 10:41:09,,,24.03.04,5,Bad app,,,,
f8cb1b5b-d8e1-44fc-a479-f814c7620758,Solomon Bekalu,https://play-lh.googleusercontent.com/a-/ALV-UjW1iq9nnJMOQJWiFXVR2SWPwqa6agQvDTf3lbh6s0rV3fktwiq-,4,24.03.04,2024-03-20 09:01:43,,,24.03.04,1,Almost useless. The intention is there but not functioning. My rating to it is 0*,,,,
2f96a920-0da4-40a3-bf38-afcdaf6cd7a7,hanani Zerihun,https://play-lh.googleusercontent.com/a/ACg8ocL2sms7VxBi5gCITRNd29qVnd9rP9Sfq9EE4N3X5bVu5JLS3EY=mo,1,,2024-03-20 07:30:01,,,,5,Mnm ayseram lmekfet aschegari app,,,,
b5473206-0297-45f3-b303-51604f9209c9,fitsum taye,https://play-lh.googleusercontent.com/a-/ALV-UjXmpB7_rXNhaJAjx7VY7_9lE_Pp2YlPDrnwPqWDwHKIiIOEnV6G,0,24.03.04,2024-03-19 23:35:45,,,24.03.04,1,👎👎👎,,,,
deebdec9-d8d6-43b0-9236-f053b2efda6a,Fast car Mar,https://play-lh.googleusercontent.com/a-/ALV-UjUUyKjDxO-m2wpb9VXIQikqeka4msyDS8UJh1YAJQj7TyYrFLqD,0,24.03.04,2024-03-19 23:33:34,,,24.03.04,2,Wow,,,,
